kepid fits i j k l period prad srad kepmag activity transitid syntheticid plphase synpixmin synpixmax synxmin synxmax
11514174 /raw/kepler/lightcurves/0115/011514174/kplr011514174-2009166043257_llc.fits 0 0 0 9 45.85202881 0.518584459 0.537 15.346 0.001742307 22_0 22 0.5792 1300 1306 158.1989969 158.3216025
8042251 /raw/kepler/lightcurves/0080/008042251/kplr008042251-2013011073258_llc.fits 0 0 0 10 14.75940107 0.847824885 0.593 11.264 0.00202411 23_0 23 0.7137 515 521 1397.94674906 1398.06934595
8042251 /raw/kepler/lightcurves/0080/008042251/kplr008042251-2013011073258_llc.fits 0 0 0 10 14.75940107 0.847824885 0.593 11.264 0.00202411 23_1 23 0.7137 515 521 1412.70574906 1412.82834595
9333505 /raw/kepler/lightcurves/0093/009333505/kplr009333505-2013098041711_llc.fits 0 0 0 11 36.86784951 0.807531346 0.29 12.889 0.002231568 24_0 24 0.2363 426 430 1497.372986 1497.45472
8678445 /raw/kepler/lightcurves/0086/008678445/kplr008678445-2010355172524_llc.fits 0 0 0 12 27.45410037 0.879217984 0.588 15.226 0.002562324 25_0 25 0.9097 1223 1228 698.4000543 698.5022185
7802933 /raw/kepler/lightcurves/0078/007802933/kplr007802933-2010265121752_llc.fits 0 0 0 13 12.05086512 0.674568121 0.47 14.457 0.002886951 26_0 26 0.4929 290 295 590.125783045 590.227949651
7802933 /raw/kepler/lightcurves/0078/007802933/kplr007802933-2010265121752_llc.fits 0 0 0 13 12.05086512 0.674568121 0.47 14.457 0.002886951 26_1 26 0.4929 290 295 602.176783045 602.278949651
3322943 /raw/kepler/lightcurves/0033/003322943/kplr003322943-2009350155506_llc.fits 0 0 0 14 5.55944313 0.651063675 0.56 15.092 0.003254503 27_0 27 0.2029 55 59 289.647625773 289.729356021
3322943 /raw/kepler/lightcurves/0033/003322943/kplr003322943-2009350155506_llc.fits 0 0 0 14 5.55944313 0.651063675 0.56 15.092 0.003254503 27_1 27 0.2029 55 59 295.206625773 295.288356021
3322943 /raw/kepler/lightcurves/0033/003322943/kplr003322943-2009350155506_llc.fits 0 0 0 14 5.55944313 0.651063675 0.56 15.092 0.003254503 27_2 27 0.2029 55 59 300.765625773 300.847356021
3322943 /raw/kepler/lightcurves/0033/003322943/kplr003322943-2009350155506_llc.fits 0 0 0 14 5.55944313 0.651063675 0.56 15.092 0.003254503 27_3 27 0.2029 55 59 306.324625773 306.406356021
3322943 /raw/kepler/lightcurves/0033/003322943/kplr003322943-2009350155506_llc.fits 0 0 0 14 5.55944313 0.651063675 0.56 15.092 0.003254503 27_4 27 0.2029 55 59 311.883625773 311.965356021
3322943 /raw/kepler/lightcurves/0033/003322943/kplr003322943-2009350155506_llc.fits 0 0 0 14 5.55944313 0.651063675 0.56 15.092 0.003254503 27_5 27 0.2029 55 59 317.442625773 317.524356021
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2012088054726_llc.fits 0 0 0 15 5.454773962 0.852456263 0.609 13.212 0.003874598 28_0 28 0.6602 176 180 1138.089304 1138.17103763
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2012088054726_llc.fits 0 0 0 15 5.454773962 0.852456263 0.609 13.212 0.003874598 28_1 28 0.6602 176 180 1143.544304 1143.62603763
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2012088054726_llc.fits 0 0 0 15 5.454773962 0.852456263 0.609 13.212 0.003874598 28_2 28 0.6602 176 180 1148.999304 1149.08103763
12268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2012088054726_llc.fits 0 0 0 15 5.454773962 0.852456263 0.609 13.212 0.003874598 28_3 28 0.6602 176 180 1159.909304 1159.99103763
6276708 /raw/kepler/lightcurves/0062/006276708/kplr006276708-2010355172524_llc.fits 0 0 0 16 33.10223327 0.829047816 0.557 15.31 0.004648632 29_0 29 0.6669 1081 1086 710.7822543 710.8844186
11714250 /raw/kepler/lightcurves/0117/011714250/kplr011714250-2010265121752_llc.fits 0 0 0 17 13.14860388 0.843072262 0.556 13.646 0.006120298 30_0 30 0.9936 639 644 595.233880416 595.336048293
11714250 /raw/kepler/lightcurves/0117/011714250/kplr011714250-2010265121752_llc.fits 0 0 0 17 13.14860388 0.843072262 0.556 13.646 0.006120298 30_1 30 0.9936 639 644 608.382880416 608.485048293
